#mpiTasks=32 mpiRank=6, n=3200000000, range=100000000, StartLocal=600000000, HostLocal=wn20
#ID 29 terminated - piLocal = 0.0675754086  0.132106
#ID 28 terminated - piLocal = 0.0697097181  0.132164
#ID 27 terminated - piLocal = 0.0719023677  0.132161
#ID 30 terminated - piLocal = 0.0655007984  0.132168
#ID 26 terminated - piLocal = 0.0741514128  0.132323
#ID 31 terminated - piLocal = 0.0634867326  0.132723
#ID 18 terminated - piLocal = 0.0936871115  0.145016
#ID 19 terminated - piLocal = 0.0911523105  0.145006
#ID 5 terminated - piLocal = 0.1214048335  0.145022
#ID 10 terminated - piLocal = 0.1128448345  0.145021
#ID 17 terminated - piLocal = 0.0962220380  0.145005
#ID 1 terminated - piLocal = 0.1247159075  0.144976
#ID 2 terminated - piLocal = 0.1242318859  0.144991
#ID 7 terminated - piLocal = 0.1184838549  0.145047
#ID 9 terminated - piLocal = 0.1148696702  0.144996
#ID 12 terminated - piLocal = 0.1084479976  0.144894
#ID 4 terminated - piLocal = 0.1225669907  0.145083
#ID 11 terminated - piLocal = 0.1106983754  0.145084
#ID 20 terminated - piLocal = 0.0886281538  0.144989
#ID 24 terminated - piLocal = 0.0788075365  0.144964
#ID 3 terminated - piLocal = 0.1235128548  0.145033
#ID 13 terminated - piLocal = 0.1061110899  0.145064
#ID 14 terminated - piLocal = 0.1037044741  0.145052
#ID 15 terminated - piLocal = 0.1012441976  0.145036
#ID 22 terminated - piLocal = 0.0836479360  0.145048
#ID 25 terminated - piLocal = 0.0764542495  0.145137
#ID 0 terminated - piLocal = 0.1249593350  0.145089
#ID 8 terminated - piLocal = 0.1167551531  0.145045
#ID 16 terminated - piLocal = 0.0987453692  0.145055
#ID 21 terminated - piLocal = 0.0861239711  0.145074
#ID 23 terminated - piLocal = 0.0812071163  0.145095
#ID 6 terminated - piLocal = 0.1200390000  0.144985
#Funct	Inter	pi	error	time	numtasks	hostname
1	3200000000	3.1415926853	3.1726792304e-08	0.1451	32	# wn20 
