function,iter,pi,error,time,hostname
1, 440000,  3.1415926536, 4.4186876380e-13, 0.00389,  wn23 
2, 440000,  3.1415926548, 1.1801524202e-09, 0.00439,  wn23 
1, 450000,  3.1415926536, 4.0101255649e-13, 0.00399,  wn23 
2, 450000,  3.1415926547, 1.1410263845e-09, 0.00450,  wn23 
1, 460000,  3.1415926536, 4.1078251911e-13, 0.00407,  wn23 
2, 460000,  3.1415926547, 1.1041034753e-09, 0.00476,  wn23 
1, 470000,  3.1415926536, 2.9709568139e-13, 0.00416,  wn23 
2, 470000,  3.1415926547, 1.0690444086e-09, 0.00469,  wn23 
1, 480000,  3.1415926536, 3.8991032625e-13, 0.00425,  wn23 
2, 480000,  3.1415926546, 1.0357545932e-09, 0.00480,  wn23 
1, 490000,  3.1415926536, 2.9798385981e-13, 0.00434,  wn23 
2, 490000,  3.1415926546, 1.0042509047e-09, 0.00489,  wn23 
1, 500000,  3.1415926536, 3.1352698215e-13, 0.00442,  wn23 
2, 500000,  3.1415926546, 9.7429397883e-10, 0.00506,  wn23 
1, 510000,  3.1415926536, 4.0456527017e-13, 0.00451,  wn23 
2, 510000,  3.1415926545, 9.4575725029e-10, 0.00509,  wn23 
1, 520000,  3.1415926536, 3.4994229736e-13, 0.00460,  wn23 
2, 520000,  3.1415926545, 9.1863983087e-10, 0.00519,  wn23 
1, 530000,  3.1415926536, 3.2551739082e-13, 0.00469,  wn23 
2, 530000,  3.1415926545, 8.9274543313e-10, 0.00529,  wn23 
1, 540000,  3.1415926536, 2.8510527272e-13, 0.00479,  wn23 
2, 540000,  3.1415926545, 8.6784890385e-10, 0.00539,  wn23 
1, 550000,  3.1415926536, 1.9895196601e-13, 0.00487,  wn23 
2, 550000,  3.1415926544, 8.4435569647e-10, 0.00548,  wn23 
1, 560000,  3.1415926536, 2.5446311724e-13, 0.00496,  wn23 
2, 560000,  3.1415926544, 8.2197315621e-10, 0.00559,  wn23 
1, 570000,  3.1415926536, 2.0428103653e-13, 0.00505,  wn23 
2, 570000,  3.1415926544, 8.0043482953e-10, 0.00569,  wn23 
1, 580000,  3.1415926536, 3.1841196346e-13, 0.00513,  wn23 
2, 580000,  3.1415926544, 7.7973227874e-10, 0.00579,  wn23 
